DatabaseName,ParentSchema,ParentTable,ColumnName,ColumnOrder,DataType,ColumnSize,ConstraintType,ChildSchema,ChildTable,ChildColumn
Foodcal,public,USERS,uid,1,string,,P,,,
Foodcal,public,USERS,name,2,string,,,,
Foodcal,public,USERS,gender,3,string,,,,
Foodcal,public,USERS,birthMonth,4,int,,,,
Foodcal,public,USERS,birthYear,5,int,,,,
Foodcal,public,USERS,height,6,double,,,,
Foodcal,public,USERS,weight,7,double,,,,
Foodcal,public,USERS,targetWeight,8,double,,,,
Foodcal,public,USERS,activityLevel,9,string,,,,
Foodcal,public,USERS,goal,10,string,,,,
Foodcal,public,USERS,role,11,string,,,,
Foodcal,public,USERS,streak,12,int,,,,
Foodcal,public,USERS,joinedDate,13,datetime,,,,
Foodcal,public,DAILY_LOGS,logId,1,string,,P,,,
Foodcal,public,DAILY_LOGS,userId,2,string,,R,public,USERS,uid
Foodcal,public,DAILY_LOGS,date,3,string,,,,
Foodcal,public,DAILY_LOGS,caloriesIn,4,int,,,,
Foodcal,public,DAILY_LOGS,caloriesOut,5,int,,,,
Foodcal,public,DAILY_LOGS,protein,6,int,,,,
Foodcal,public,DAILY_LOGS,carbs,7,int,,,,
Foodcal,public,DAILY_LOGS,fat,8,int,,,,
Foodcal,public,DAILY_LOGS,waterGlasses,9,int,,,,
Foodcal,public,DAILY_LOGS,lastUpdated,10,datetime,,,,
Foodcal,public,FOOD_ITEMS,id,1,string,,P,,,
Foodcal,public,FOOD_ITEMS,logId,2,string,,R,public,DAILY_LOGS,logId
Foodcal,public,FOOD_ITEMS,name,3,string,,,,
Foodcal,public,FOOD_ITEMS,calories,4,int,,,,
Foodcal,public,FOOD_ITEMS,protein,5,int,,,,
Foodcal,public,FOOD_ITEMS,carbs,6,int,,,,
Foodcal,public,FOOD_ITEMS,fat,7,int,,,,
Foodcal,public,FOOD_ITEMS,time,8,datetime,,,,
Foodcal,public,FOOD_ITEMS,mealType,9,string,,,,
Foodcal,public,WORKOUT_ITEMS,id,1,int,,P,,,
Foodcal,public,WORKOUT_ITEMS,logId,2,string,,R,public,DAILY_LOGS,logId
Foodcal,public,WORKOUT_ITEMS,title,3,string,,,,
Foodcal,public,WORKOUT_ITEMS,level,4,string,,,,
Foodcal,public,WORKOUT_ITEMS,duration,5,string,,,,
Foodcal,public,WORKOUT_ITEMS,minutes,6,int,,,,
Foodcal,public,WORKOUT_ITEMS,type,7,string,,,,
Foodcal,public,WORKOUT_ITEMS,completedAt,8,datetime,,,,
Foodcal,public,WEIGHT_LOGS,logId,1,string,,P,,,
Foodcal,public,WEIGHT_LOGS,userId,2,string,,R,public,USERS,uid
Foodcal,public,WEIGHT_LOGS,date,3,string,,,,
Foodcal,public,WEIGHT_LOGS,weightKg,4,double,,,,
Foodcal,public,WEIGHT_LOGS,note,5,string,,,,
Foodcal,public,CUSTOM_FOODS,foodId,1,string,,P,,,
Foodcal,public,CUSTOM_FOODS,userId,2,string,,R,public,USERS,uid
Foodcal,public,CUSTOM_FOODS,name,3,string,,,,
Foodcal,public,CUSTOM_FOODS,calories,4,int,,,,
Foodcal,public,CUSTOM_FOODS,protein,5,int,,,,
Foodcal,public,CUSTOM_FOODS,carbs,6,int,,,,
Foodcal,public,CUSTOM_FOODS,fat,7,int,,,,
Foodcal,public,CUSTOM_FOODS,servingSize,8,double,,,,
Foodcal,public,CUSTOM_FOODS,servingUnit,9,string,,,,
Foodcal,public,CUSTOM_FOODS,isFavorite,10,bool,,,,
Foodcal,public,WORKOUT_SESSIONS,sessionId,1,string,,P,,,
Foodcal,public,WORKOUT_SESSIONS,userId,2,string,,R,public,USERS,uid
Foodcal,public,WORKOUT_SESSIONS,workoutId,3,int,,,,
Foodcal,public,WORKOUT_SESSIONS,dateKey,4,string,,,,
Foodcal,public,WORKOUT_SESSIONS,minutes,5,int,,,,
Foodcal,public,WORKOUT_SESSIONS,startedAt,6,datetime,,,,
Foodcal,public,WORKOUT_SESSIONS,completed,7,bool,,,,
Foodcal,public,WORKOUT_SESSIONS,completedAt,8,datetime,,,,
Foodcal,public,FEEDBACK,feedbackId,1,string,,P,,,
Foodcal,public,FEEDBACK,uid,2,string,,R,public,USERS,uid
Foodcal,public,FEEDBACK,rating,3,int,,,,
Foodcal,public,FEEDBACK,comment,4,string,,,,
Foodcal,public,FEEDBACK,favoriteFeature,5,string,,,,
Foodcal,public,FEEDBACK,createdAt,6,datetime,,,,
